source_url,department,page_title,type_contacts,categories,contact_count
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/5625982c-87b3-4cc4-b1ff-88eced86454a,correze,Archives départementales - Corrèze,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/564ad385-8de1-46b4-8bf4-b1e0cc32dd7d,correze,Mairie - Lagarde-Marc-la-Tour,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/57cbac0d-13bb-422b-b18a-50de6d5bd898,correze,Mairie - Saint-Éloy-les-Tuileries,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/57ec6514-3393-4632-bae7-4341f29f9fe5,correze,Bureau de l'éducation routière (BER) - Corrèze,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/58ac8f59-12f3-461a-98a3-fdfbbb52d6e1,correze,Mairie - Liginiac,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/58e78040-18d0-4384-a2ec-482634091e08,correze,Communauté d'agglomération - Bassin de Brive,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/58fdd63a-843f-4098-97d3-68b61a838e4c,correze,Mairie - Ambrugeat,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/59310039-cd11-4bb5-a237-5317a75af4a2,correze,Centre communal d'action sociale (CCAS) - Malemort,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/59db3e85-4b74-4389-bbcd-ca48bb3f2566,correze,Mairie déléguée - Marc-la-Tour,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/5a684c2c-bc57-49a5-9c80-1147571151ba,correze,Mairie - Chasteaux,collectivite_administration,mairie collectivite,1
